"","GMU","PopulationName","extinct","extinctup","extinctlow"
"Abel","Eastern Lahontan Basin","Abel",0.0617726051924799,0.0678155774395703,0.0546105640107431
"Andorno","Northwest Lahontan Basin","Andorno",0.172560429722471,0.182408236347359,0.158907788719785
"Bartlett","Northwest Lahontan Basin","Bartlett",1,1,1
"Battle_NF","Northwest Lahontan Basin","Battle_NF",0.0493509400179051,0.056177260519248,0.0427484333034915
"Big&Big_NF","Northwest Lahontan Basin","Big&Big_NF",1,1,1
"Big&CorralCyn","Eastern Lahontan Basin","Big&CorralCyn",0.997761862130707,0.998657117278424,0.995076096687556
"Birch","Eastern Lahontan Basin","Birch",0.0596463742166517,0.0684870188003581,0.0499104744852283
"Boone","Eastern Lahontan Basin","Boone",0.998097582811101,0.999328558639212,0.996642793196061
"Bottle","Northwest Lahontan Basin","Bottle",0.999328558639212,1,0.998433303491495
"Boulder_1st&2nd_dwn&WF","Eastern Lahontan Basin","Boulder_1st&2nd_dwn&WF",0.38126678603402,0.392569382273948,0.362802148612355
"Boulder_2nd_up","Eastern Lahontan Basin","Boulder_2nd_up",0.224261414503133,0.267905102954342,0.19136078782453
"Boulder_4th","Eastern Lahontan Basin","Boulder_4th",0.0608773500447628,0.0859444941808415,0.0467770814682184
"Boulder_EF&Boulder_3rd","Eastern Lahontan Basin","Boulder_EF&Boulder_3rd",1,1,0.999104744852283
"BoxCanyon_aka_Stoddard","Eastern Lahontan Basin","BoxCanyon_aka_Stoddard",0.999216651745748,0.999776186213071,0.996418979409132
"Brown","Eastern Lahontan Basin","Brown",0.998097582811101,0.999776186213071,0.994628469113697
"BuffaloCanyon","Northwest Lahontan Basin","BuffaloCanyon",0.947179946284691,0.95367054610564,0.938003581020591
"CA_ByDay","Western Lahontan Basin","CA_ByDay",0.192032229185318,0.20076096687556,0.181065353625783
"CA_Mill_dwn","Western Lahontan Basin","CA_Mill_dwn",0.229632945389436,0.242837958818263,0.218218442256043
"CA_Mill_up","Western Lahontan Basin","CA_Mill_up",0.159691136974038,0.171217547000895,0.150402864816473
"CA_Murphy","Western Lahontan Basin","CA_Murphy",0.159131602506714,0.170546105640107,0.150402864816473
"CA_Pole","Western Lahontan Basin","CA_Pole",0.0348030438675022,0.0474485228290063,0.0277529095792301
"CA_SageHen","Western Lahontan Basin","CA_SageHen",1,1,1
"CA_Silver_up","Western Lahontan Basin","CA_Silver_up",0.107766338406446,0.12645478961504,0.0888540734109221
"CA_Slinkard","Western Lahontan Basin","CA_Slinkard",0.999776186213071,1,0.999328558639212
"CA_Slinkard_dwn","Western Lahontan Basin","CA_Slinkard_dwn",0.998433303491495,0.999776186213071,0.994852282900627
"CA_UpperTruckee_up","Western Lahontan Basin","CA_UpperTruckee_up",0.269471799462847,0.290957923008057,0.256938227394808
"CA_Wolf_dwn","Western Lahontan Basin","CA_Wolf_dwn",0.0903088630259624,0.114816472694718,0.0767681289167413
"CA_Wolf_up","Western Lahontan Basin","CA_Wolf_up",0.165734109221128,0.198970456580125,0.143912264995524
"Cabin&DJ&Lye&Martin&Deep&RoundCorral&Alkali","Eastern Lahontan Basin","Cabin&DJ&Lye&Martin&Deep&RoundCorral&Alkali",1,1,0.999328558639212
"Cabin_up","Eastern Lahontan Basin","Cabin_up",0.986459265890779,0.991942703670546,0.979632945389436
"California","Eastern Lahontan Basin","California",0.992726051924799,0.996195165622202,0.989480752014324
"Canyon&Canyon_SF","Northwest Lahontan Basin","Canyon&Canyon_SF",1,1,1
"Carville","Eastern Lahontan Basin","Carville",0.924574753804834,0.937332139659803,0.91674127126231
"Clear_RRD","Eastern Lahontan Basin","Clear_RRD",0.997761862130707,0.999776186213071,0.995523724261415
"Cold_ColdNF","Eastern Lahontan Basin","Cold_ColdNF",0.886526410026858,0.897045658012534,0.871530886302596
"Cold_NF_up","Eastern Lahontan Basin","Cold_NF_up",0.137421665174575,0.15420769919427,0.125111906893465
"Colman_up","Northwest Lahontan Basin","Colman_up",0.0552820053715309,0.0624440465532677,0.0474485228290063
"Conrad_dwn&Talbot_dwn","Eastern Lahontan Basin","Conrad_dwn&Talbot_dwn",0.658907788719785,0.676141450313339,0.63876454789615
"Conrad_up","Eastern Lahontan Basin","Conrad_up",0.999328558639212,1,0.997314234556849
"Cottonwood&Indian_QRD","Northwest Lahontan Basin","Cottonwood&Indian_QRD",0.996418979409132,0.998657117278424,0.995299910474485
"Cottonwood_RRD","Eastern Lahontan Basin","Cottonwood_RRD",0.117502238137869,0.127126230975828,0.109444941808415
"Cottonwood_SFHRD","Eastern Lahontan Basin","Cottonwood_SFHRD",1,1,1
"Coyote","Eastern Lahontan Basin","Coyote",0.0259623992837959,0.0340196956132498,0.0210384959713518
"CraneCanyon","Eastern Lahontan Basin","CraneCanyon",0.0602059086839749,0.0684870188003581,0.0492390331244405
"CraneCanyon_dwn","Eastern Lahontan Basin","CraneCanyon_dwn",1,1,1
"Crowley","Northwest Lahontan Basin","Crowley",0.350268576544315,0.369740376007162,0.325201432408236
"Currant","Eastern Lahontan Basin","Currant",0.304274843330349,0.321620411817368,0.286705461056401
"Currant_up","Eastern Lahontan Basin","Currant_up",0.999888093106535,1,0.998209489704566
"Dixie","Eastern Lahontan Basin","Dixie",0.277976723366159,0.296105640107431,0.258952551477171
"Donnelly","Northwest Lahontan Basin","Donnelly",0.999216651745748,1,0.996642793196061
"Dorsey","Eastern Lahontan Basin","Dorsey",0.880819158460161,0.892569382273948,0.867502238137869
"Draw_AboveBarrier","Eastern Lahontan Basin","Draw_AboveBarrier",0.525290957923008,0.556848701880036,0.513428827215756
"EchoCanyon_dwn","Eastern Lahontan Basin","EchoCanyon_dwn",0.999552372426141,1,0.998433303491495
"EchoCanyon_up","Eastern Lahontan Basin","EchoCanyon_up",0.997985675917637,1,0.996195165622202
"Edwards","Out of Basin","Edwards",0.0194717994628469,0.024395702775291,0.0141002685765443
"Eightmile","Northwest Lahontan Basin","Eightmile",0.93990599820949,0.950089525514772,0.9319606087735
"EMR&MRBC&CC&QC&Cutt&Short&WillBas","Eastern Lahontan Basin","EMR&MRBC&CC&QC&Cutt&Short&WillBas",0.00201432408236347,0.0035810205908684,0.000671441360787825
"FallsCanyon","Northwest Lahontan Basin","FallsCanyon",0.973366159355416,0.979632945389436,0.96598030438675
"Flat","Northwest Lahontan Basin","Flat",1,1,1
"Foreman","Eastern Lahontan Basin","Foreman",0.0379364368845121,0.0461056401074306,0.0320053715308863
"Frazer","Eastern Lahontan Basin","Frazer",0.192479856759176,0.215308863025962,0.171888988361683
"Furlong_N","Eastern Lahontan Basin","Furlong_N",0.0886302596239928,0.103625783348254,0.0772157564905998
"Gance_RdCny_Warm","Eastern Lahontan Basin","Gance_RdCny_Warm",0.0279767233661594,0.0329006266786034,0.0232766338406446
"Gardner","Eastern Lahontan Basin","Gardner",0.999328558639212,1,0.997314234556849
"Gennette","Eastern Lahontan Basin","Gennette",0.0635631154879141,0.0729632945389436,0.0557296329453894
"GreenMtn_Main_SF","Eastern Lahontan Basin","GreenMtn_Main_SF",1,1,1
"GreenMtn_NF","Eastern Lahontan Basin","GreenMtn_NF",0.194829901521934,0.205908683974933,0.184646374216652
"Greys","Eastern Lahontan Basin","Greys",1,1,0.998433303491495
"Hanks&Conners","Eastern Lahontan Basin","Hanks&Conners",0.733661593554163,0.747314234556849,0.718666069829902
"Happy","Northwest Lahontan Basin","Happy",1,1,1
"HorseCanyon","Northwest Lahontan Basin","HorseCanyon",0.998433303491495,0.999552372426141,0.996195165622202
"House","Northwest Lahontan Basin","House",1,1,1
"Humboldt_NF&ColeCyn","Eastern Lahontan Basin","Humboldt_NF&ColeCyn",0.230975828111012,0.250895255147717,0.205908683974933
"Illinois","Eastern Lahontan Basin","Illinois",1,1,0.999104744852283
"Indian","Eastern Lahontan Basin","Indian",0.0899731423455685,0.100268576544315,0.0794538943598926
"Indian_SF","Eastern Lahontan Basin","Indian_SF",0.0898612354521038,0.100268576544315,0.0794538943598926
"Jackson","Northwest Lahontan Basin","Jackson",0.239033124440466,0.249776186213071,0.226275738585497
"Kings&ColdSpgs","Northwest Lahontan Basin","Kings&ColdSpgs",1,1,1
"Kleckner_dwn&Welch","Eastern Lahontan Basin","Kleckner_dwn&Welch",0.942367949865712,0.955461056401074,0.9319606087735
"Kleckner_up","Eastern Lahontan Basin","Kleckner_up",0.998209489704566,0.999328558639212,0.995299910474485
"KlondikeCan&Quinn_EF&Laca","Northwest Lahontan Basin","KlondikeCan&Quinn_EF&Laca",1,1,1
"Lee","Eastern Lahontan Basin","Lee",0.114816472694718,0.124664279319606,0.107430617726052
"Lewis_RRD","Eastern Lahontan Basin","Lewis_RRD",0.997538048343778,1,0.996195165622202
"LineCanyon","Northwest Lahontan Basin","LineCanyon",0.19281557743957,0.211280214861235,0.173679498657117
"LittleCottonwood","Eastern Lahontan Basin","LittleCottonwood",0.999552372426141,1,0.998433303491495
"LittleHumboldt_NF","Eastern Lahontan Basin","LittleHumboldt_NF",0.292076991942704,0.308191584601611,0.277081468218442
"LittleJack","Eastern Lahontan Basin","LittleJack",0.0446508504923903,0.0514771709937332,0.0373769024171889
"LogCabin&Raster","Northwest Lahontan Basin","LogCabin&Raster",1,1,1
"Maggie","Eastern Lahontan Basin","Maggie",0.0141002685765443,0.0181289167412713,0.0105192479856759
"Mahala&Jim","Eastern Lahontan Basin","Mahala&Jim",1,1,1
"Mahogany&Segunda&LongCanyon","Eastern Lahontan Basin","Mahogany&Segunda&LongCanyon",0.022829006266786,0.0284243509400179,0.0183527305282005
"MarySloan","Northwest Lahontan Basin","MarySloan",0.998880931065354,0.999776186213071,0.997538048343778
"Marysville","Eastern Lahontan Basin","Marysville",0.21911369740376,0.232318710832587,0.202775290957923
"Marysville_nonconpop","Eastern Lahontan Basin","Marysville_nonconpop",1,1,1
"Marysville_nonconpop_up","Eastern Lahontan Basin","Marysville_nonconpop_up",1,1,1
"McConnell","Northwest Lahontan Basin","McConnell",1,1,1
"McCutcheon_dwn","Eastern Lahontan Basin","McCutcheon_dwn",1,1,0.997314234556849
"McCutcheon_up","Eastern Lahontan Basin","McCutcheon_up",0.788048343777977,0.809758281110116,0.77148612354521
