MetaPopID,MetaPop_Name,PopID,PopulationName,PopNameShort,PopType,COMID,Pop_Extent_km
,,323,Ackler,Ackler,OtherPop,10778218,11.16
,,64,Andorno,Andorno,ConsPop,11852731,3.63
,,264,Bartlett,Bartlett,OtherPop,11277576,6.97
,,65,Battle_NF,NF Battle,ConsPop,11281838,6.66
,,150,Big&Big_NF,Big,OtherPop,11277186,10.81
,,320,Big&CorralCyn,Big & Corral Cyn,OtherPop,11177629,16.37
,,122,Birch,Birch,OtherPop,11230154,4.94
,,151,Boone,Boone,OtherPop,11175527,8.75
,,312,Bottle,Bottle,OtherPop,11851685,15.21
,,152,BoxCanyon_aka_Stoddard,Stoddard,OtherPop,10751239,5.67
,,153,Brown,Brown,OtherPop,946040189,8.1
,,173,BuffaloCanyon,Buffalo Cyn,OtherPop,11852703,8.33
,,217,CA_ByDay,By Day,ConsPop,8915047,5.87
,,295,CA_CharityValley,Charity Valley,OtherPop,8922813,12.78
,,270,CA_Deep,Deep,OtherPop,10744306,42.57
,,272,CA_Deer,Deer,OtherPop,8934040,5.88
,,271,CA_Desert,Desert,OtherPop,10742558,34.16
,,232,CA_Dog,Dog,OtherPop,8930230,16.36
,,332,CA_Dunderberg&Dog,Dunder-Dog (CA),OtherPop,8915417,20.37
,,274,CA_Eagle,Eagle,OtherPop,8915311,9.22
,,228,CA_EastForkCarson,EF Carson,ConsPop,8924939,13.99
,,296,CA_EastForkCarson_up1,EF Carson (up1),ConsPop,8925025,1.08
,,297,CA_EastForkCarson_up2,EF Carson (up2),ConsPop,8925027,2.39
,,298,CA_EastForkCarsonReconnect,EF Carson (recon),Reconnect,8924901,3.71
,,334,CA_Forestdale,Forestdale (CA),OtherPop,8922827,4.58
,,227,CA_GoldenCanyon,Golden Cyn,ConsPop,8924957,2.4
,,330,CA_Horse,Horse (CA),OtherPop,8915443,4.51
,,259,CA_Horsethief,Horsethief,OtherPop,8922479,4.7
,,233,CA_Hunter,Hunter,OtherPop,8935786,7.87
,,234,CA_Independence,Independence,ConsPop,8933584,2.19
,,299,CA_JeffDavis,Jeff Davis,OtherPop,8922965,6.14
,,216,CA_Mill_dwn,Mill (dwn),ConsPop,10744290,3.24
,,215,CA_Mill_up,Mill (up),ConsPop,10744394,6.81
,,301,CA_Mountaineer,Mountaineer,OtherPop,8922675,4.84
,,302,CA_Mountaineer_E_up,Mountaineer (E; up),OtherPop,8922805,5.04
,,303,CA_Mountaineer_W_up,Mountaineer (W; up),OtherPop,8922751,2.66
,,235,CA_Murphy,Murphy,ConsPop,8915845,11.6
,,226,CA_MurrayCanyon,Murray Cyn,ConsPop,8924913,3.23
,,275,CA_Paiute_CorralValley,Corral Valley,OtherPop,8924925,4.96
,,276,CA_Paiute_CoyoteValley,Coyote Valley,OtherPop,8925269,5.42
,,277,CA_Paiute_FlyValley,Fly Valley,OtherPop,8925271,1.63
,,278,CA_Paiute_FourMileCanyon,Four Mile Cyn,OtherPop,8925011,2.05
,,279,CA_Paiute_Historic,Historic,OtherPop,8923315,14.58
,,280,CA_Paiute_UpSilverKing,Silver King (up),OtherPop,8924967,8.13
,,219,CA_PoisonFlat,Poison Flat,ConsPop,8923305,3.35
,,146,CA_Pole,Pole (CA),ConsPop,8934374,2.78
,,251,CA_RaymondMeadows,Raymond Meadows,OtherPop,8923139,3.72
