"PopulationName","extent"
"Abel",7.32
"Abel&SHReconnect",0.09
"Ackler",11.16
"Alles",7.54
"Alles&DeeringReconnect",0.33
"Andorno",3.63
"Bartlett",6.97
"Battle_NF",6.66
"Big&Big_NF",10.81
"Big&CorralCyn",16.37
"Birch",4.94
"Boone",8.75
"Bottle",15.21
"Boulder_1st&2nd_dwn&WF",13.21
"Boulder_2nd_up",0.67
"Boulder_4th",4.25
"Boulder_EF&Boulder_3rd",8.69
"BoulderEFWFReconnect",1.84
"BoxCanyon_aka_Stoddard",5.67
"Brown",8.1
"BuffaloCanyon",8.33
"CA_Bodie",20.02
"CA_ByDay",5.87
"CA_CharityValley",12.78
"CA_ColdStream",5.19
"CA_Deep",42.57
"CA_Deer",5.88
"CA_Desert",34.16
"CA_Dog",16.36
"CA_Dunderberg&Dog",20.37
"CA_Eagle",9.22
"CA_EastForkCarson",13.99
"CA_EastForkCarson_up1",1.08
"CA_EastForkCarson_up2",2.39
"CA_EastForkCarsonReconnect",3.71
"CA_Forestdale",4.58
"CA_GoldenCanyon",2.4
"CA_Horse",4.51
"CA_Horsethief",4.7
"CA_Hunter",7.87
"CA_JeffDavis",6.14
"CA_LittleTruckee",18.03
"CA_Mill_dwn",3.24
"CA_Mill_up",6.81
"CA_Mountaineer",4.84
"CA_Mountaineer_E_up",5.04
"CA_Mountaineer_W_up",2.66
"CA_Murphy",11.6
"CA_MurrayCanyon",3.23
"CA_Paiute_CorralValley",4.96
"CA_Paiute_CoyoteValley",5.42
"CA_Paiute_FlyValley",1.63
"CA_Paiute_FourMileCanyon",2.05
"CA_Paiute_Historic",14.58
"CA_Paiute_UpSilverKing",8.13
"CA_Perazzo",7.71
"CA_PoisonFlat",3.35
"CA_Pole",2.78
"CA_RaymondMeadows",3.72
"CA_Robinson",10.96
"CA_RoBoReconnect",21.95
"CA_Rough",15.11
"CA_SageHen",12.97
"CA_Silver_dwn",2.09
"CA_Silver_NWTahoe",3.78
"CA_Silver_up",5.72
"CA_Slinkard",9.32
"CA_Slinkard_dwn",3.43
"CA_UpperTruckee_dwn",3.84
"CA_UpperTruckee_up",8.07
"CA_WebberLake",23.61
"CA_Willow",8.62
"CA_Willow_up",17.38
"CA_Wolf_dwn",3.23
"CA_Wolf_up",1.9
"Cabin&DJ&Lye&Martin&Deep&RoundCorral&Alkali",91.56
"Cabin_up",2.7
"California",10.39
"Canyon&Canyon_SF",8.15
"Carville",2.74
"Clear_RRD",25.42
"Cold_ColdNF",11.83
"Cold_NF_up",3.91
"Colman_up",7.68
"Conrad_dwn&Talbot_dwn",7.43
"Conrad_up",2.26
"Cottonwood&Indian_QRD",36.74
"Cottonwood_RRD",8.29
"Cottonwood_SFHRD",3.04
"Cottonwood_WalkerLake",8.84
"Coyote",13.08
"CraneCanyon",1.56
"CraneCanyon_dwn",4.02
"Crowley",9.54
"Currant",17
"Currant_up",3.63
"Deering",9.41
"Dixie",11.07
"Donnelly",2.52
"Dorsey",8.55
"Draw_AboveBarrier",3.12
"EchoCanyon_dwn",1.78
"EchoCanyon_up",2.85
"Edwards",11.38
"Eightmile",6.5
"EMR&MRBC&CC&QC&Cutt&Short&WillBas",42.91
"FallsCanyon",3.05
"Flat",9.11
"Flat_SFReconnect",4.8
"Foreman",6.21
"Frazer",6.1
"Furlong_N",5.78
"Gance_RdCny_Warm",11.17
"Gardner",2.37
"Gennette",4.85
"GreenMtn_Main_SF",14.48
"GreenMtn_NF",1.84
"Greys",1.24
"Greys_up",2.09
"GrMtnToynReconnect",3.57
"Hall&Greys_dwn",5.16
"Hanks&Conners",25.52
"Happy",3.4
"HorseCanyon",6.02
