"PopulationName","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015"
"Abel",1.8324693925609,-0.556751241000329,-0.283221139583359,-0.193455483049259,-0.0670380169858545,-0.297389442993031,-0.253347826745097,1.40972122752015,-0.471498843131115,1.02929723687686,-0.899733680718337,1.39702190560002,-0.421891880088282,1.59783456940961,1.47622408598631,-0.563188040811167,-0.189629857241024,-0.767061255345082,-0.086951986169094,-0.884696490837049,-0.853517242754476,-0.958151867966916,-1.04775730010285,-0.843269106511588,-0.483018729712806,2.6949869093087,-0.345770946634911,0.790609014642767,-1.28356188617294,-0.795775181974037,0.581830681563156
"Abel&SHReconnect",1.88020368702903,-0.563095632610933,-0.282329525405003,-0.213310053668384,-0.108645150880234,-0.293554216580886,-0.248576679370304,1.36131654834182,-0.495737637343589,0.989027512770081,-0.904782342880592,1.36827074137153,-0.442128537840965,1.57495979090757,1.53453767131832,-0.5910688157052,-0.171532925433645,-0.761494625928922,-0.100856122564829,-0.876279790503839,-0.863664187770385,-0.974007830564032,-1.06755466600995,-0.844136102860478,-0.498260000551922,2.63420348042696,-0.358586790896537,0.782886154254367,-1.29230917917976,-0.758512570890668,0.759000517118849
"Ackler",1.62065033339724,-0.519618968875151,-0.197611107386559,-0.538881987046695,-1.01313223191245,-0.648983196904552,-0.211815488373751,-0.606801829424972,0.0137406895108442,0.497266012047215,-1.12194595809451,1.3650049747123,-1.13912721105468,1.17954014459437,1.17712847297051,-0.784910712532839,-1.15736902389673,-0.553363058703714,-0.765787394594683,-0.0997118889539644,0.560758483659818,0.115404906580156,-0.603010851620073,-0.160119586206036,-0.340702155155967,2.02214754477399,-0.545276501166096,3.01874299234216,-0.794906212138595,-0.345635982333846,0.713585347412689
"Alles",1.43393022199952,-0.464415168201573,-0.146380372525545,-0.475022805548514,-0.850689341565292,-0.54516599262319,-0.18057131805569,-0.524928606530451,-0.00634820530985322,0.417842716978086,-0.940222824499762,1.10351914832752,-0.973792587447551,0.940561019298609,0.96792564121738,-0.801134864474448,-0.980013076903924,-0.494047788911701,-0.682502673039583,-0.0143281578312286,0.578911011066411,0.0543108648263144,-0.509016586474047,-0.123828895738466,-0.294003289046339,1.66507813811435,-0.473341908862123,3.86409802322381,-0.817413424778509,-0.547123949941851,0.211300139932128
"Alles&DeeringReconnect",1.43046296293717,-0.463735820860789,-0.145971103298455,-0.474100831452625,-0.848394529419285,-0.543795683233624,-0.180218595578344,-0.523653817796396,-0.00689814127786332,0.416033886873426,-0.937648323142626,1.09899899499082,-0.971285271577145,0.937145787753867,0.965299103844332,-0.802563003377657,-0.977261451500905,-0.49286004754989,-0.68093761102278,-0.0133223951460283,0.578923559948946,0.0528249781711835,-0.507740245768552,-0.122769336173412,-0.293475732429048,1.65967928807483,-0.472405302369027,3.87414626271799,-0.816973458735768,-0.548495951685295,0.206485762613349
"Andorno",1.66536766734909,-0.189231560821765,-0.179025672046447,-0.329023558415279,-0.140878107088757,-0.526396292399404,-0.395269714216123,1.22337402001116,-0.395180573878037,0.881258183858826,-1.00989205443475,0.886619426885002,-0.4119211269045,1.78990187320748,1.97833138405875,-0.895523645258263,-0.398205089965808,-0.488775602821045,-0.280150967671914,-0.705554926014348,-0.879599291638641,-1.00435431873587,-1.26108602393449,-0.765752933576987,-0.797669136562379,1.94800741522431,-0.250522845627777,0.448167286135883,-1.30347244570087,-0.410115077010385,1.9245561135178
"Bartlett",0.178615461725842,-0.18542294411624,0.449403900144079,0.581477136040413,-0.519561350462376,0.0424343585073767,-0.488179831263943,0.282256888836511,-0.30232569475367,2.87755414091573,-1.18802507376435,0.474592598731528,1.51477459880324,1.23154119174639,1.60793242021797,-0.633922295697125,-1.08068644857044,-0.876318576957058,-0.515310224239235,0.0631240700642977,-1.10291387576853,-1.01414725321901,-1.05242451778565,-0.510288634029754,-0.761486474536166,1.72968208725405,-0.852759667874193,-0.417711297742502,-1.10862461135119,0.384799788542566,0.0401049407394124
"Battle_NF",-0.0720800721245174,-0.13138178202968,0.556460640635687,0.263886607375708,-0.541341546807884,0.264386062683185,-0.519021775024494,0.118789939881885,-0.256667302600324,2.88887244003919,-1.1455301702193,0.565310013773257,1.93306199225964,1.20123706831146,1.68400904765656,-0.59129849044926,-0.973097448391786,-0.846450128684296,-0.522094334321309,-0.035556967471962,-1.08982181751435,-1.03694435635325,-0.982048053758492,-0.466805676252635,-0.781725143990783,1.10281516809348,-0.775695571978992,-0.710088577327758,-1.04069220553808,0.494750957776842,0.0681364927249932
"Big&Big_NF",0.309959696332482,-0.289678053631751,0.0312478151603008,0.923992362410375,-0.451182534688058,-0.185888721332564,-0.509309587909704,0.633357439401799,-0.571728231662635,2.48046049868907,-1.13260341420404,0.526461996558974,0.724514611473759,1.71504284939242,1.7349562335675,-0.791162184744174,-1.05389694354822,-0.873127742892002,-0.602262019161575,0.0243313460425777,-0.9488734948877,-0.930815066281259,-1.02608565228731,-0.550790559789316,-0.733731981545755,2.35848537103304,-0.819741120825832,0.174450588144663,-1.14380591708777,0.127193237413901,0.620434199802118
"Big&CorralCyn",3.33896419436447,-0.313173433056796,-0.774062683235406,-0.949460729003129,0.165643410992963,0.93330569935317,0.178944580426745,-0.463404952616069,0.315486686183236,0.466931012753221,-0.96011518337509,0.0679571822492528,-1.10212835245079,1.09059111365911,1.75183097673378,0.0887656213796628,-0.196752363983764,-0.742853045832878,-0.573618887642776,0.0183054186622384,-0.508507913557533,-0.609610945145073,-0.815555705653154,-0.152246194840038,-1.1420430029319,2.13187751980683,-1.02909805784136,0.894878242109595,-0.534237405446553,-0.319867164452508,-0.0437053535129176
